axis	ma      
890.64	5.30E-02
891	5.31E-02
891.36	5.32E-02
891.72	5.33E-02
892.08	5.34E-02
892.44	5.34E-02
892.8	5.35E-02
893.16	5.36E-02
893.52	5.37E-02
893.88	5.38E-02
894.24	5.39E-02
894.6	5.39E-02
894.96	5.40E-02
895.32	5.41E-02
895.68	5.42E-02
896.04	5.43E-02
896.4	5.44E-02
896.76	5.44E-02
897.12	5.45E-02
897.48	5.46E-02
897.84	5.47E-02
898.2	5.48E-02
898.56	5.49E-02
898.92	5.50E-02
899.28	5.50E-02
899.64	5.51E-02
900	5.52E-02
900.36	5.53E-02
900.72	5.54E-02
901.08	5.55E-02
901.44	5.56E-02
901.8	5.57E-02
902.16	5.57E-02
902.52	5.58E-02
902.88	5.59E-02
903.24	5.60E-02
903.6	5.61E-02
903.96	5.62E-02
904.32	5.63E-02
904.68	5.64E-02
905.04	5.64E-02
905.4	5.65E-02
905.76	5.66E-02
906.12	5.67E-02
906.48	5.68E-02
906.84	5.69E-02
907.2	5.70E-02
907.56	5.71E-02
907.92	5.72E-02
908.28	5.73E-02
908.64	5.74E-02
909	5.74E-02
909.36	5.75E-02
909.72	5.76E-02
910.08	5.77E-02
910.44	5.78E-02
910.8	5.79E-02
911.16	5.80E-02
911.52	5.81E-02
911.88	5.82E-02
912.24	5.83E-02
912.6	5.84E-02
912.96	5.85E-02
913.32	5.86E-02
913.68	5.87E-02
914.04	5.88E-02
914.4	5.89E-02
914.76	5.89E-02
915.12	5.90E-02
915.48	5.91E-02
915.84	5.92E-02
916.2	5.93E-02
916.56	5.94E-02
916.92	5.95E-02
917.28	5.96E-02
917.64	5.97E-02
918	5.98E-02
918.36	5.99E-02
918.72	6.00E-02
919.08	6.01E-02
919.44	6.02E-02
919.8	6.03E-02
920.16	6.04E-02
920.52	6.05E-02
920.88	6.06E-02
921.24	6.07E-02
921.6	6.08E-02
921.96	6.09E-02
922.32	6.10E-02
922.68	6.11E-02
923.04	6.12E-02
923.4	6.13E-02
923.76	6.14E-02
924.12	6.15E-02
924.48	6.16E-02
924.84	6.17E-02
925.2	6.18E-02
925.56	6.19E-02
925.92	6.20E-02
926.28	6.21E-02
926.64	6.22E-02
927	6.23E-02
927.36	6.25E-02
927.72	6.26E-02
928.08	6.27E-02
928.44	6.28E-02
928.8	6.29E-02
929.16	6.30E-02
929.52	6.31E-02
929.88	6.32E-02
930.24	6.33E-02
930.6	6.34E-02
930.96	6.35E-02
931.32	6.36E-02
931.68	6.37E-02
932.04	6.38E-02
932.4	6.39E-02
932.76	6.41E-02
933.12	6.42E-02
933.48	6.43E-02
933.84	6.44E-02
934.2	6.45E-02
934.56	6.46E-02
934.92	6.47E-02
935.28	6.48E-02
935.64	6.49E-02
936	6.50E-02
936.36	6.52E-02
936.72	6.53E-02
937.08	6.54E-02
937.44	6.55E-02
937.8	6.56E-02
938.16	6.57E-02
938.52	6.58E-02
938.88	6.60E-02
939.24	6.61E-02
939.6	6.62E-02
939.96	6.63E-02
940.32	6.64E-02
940.68	6.65E-02
941.04	6.66E-02
941.4	6.68E-02
941.76	6.69E-02
942.12	6.70E-02
942.48	6.71E-02
942.84	6.72E-02
943.2	6.73E-02
943.56	6.75E-02
943.92	6.76E-02
944.28	6.77E-02
944.64	6.78E-02
945	6.79E-02
945.36	6.81E-02
945.72	6.82E-02
946.08	6.83E-02
946.44	6.84E-02
946.8	6.85E-02
947.16	6.87E-02
947.52	6.88E-02
947.88	6.89E-02
948.24	6.90E-02
948.6	6.91E-02
948.96	6.93E-02
949.32	6.94E-02
949.68	6.95E-02
950.05	6.96E-02
950.41	6.98E-02
950.77	6.99E-02
951.13	7.00E-02
951.49	7.01E-02
951.85	7.03E-02
952.21	7.04E-02
952.57	7.05E-02
952.93	7.06E-02
953.29	7.08E-02
953.65	7.09E-02
954.01	7.10E-02
954.37	7.12E-02
954.73	7.13E-02
955.09	7.14E-02
955.45	7.15E-02
955.81	7.17E-02
956.17	7.18E-02
956.53	7.19E-02
956.89	7.21E-02
957.25	7.22E-02
